COUNTRY,CITY,THEME,HIGHLIGHTS,PRECAUTION,VISA,AVG_COST_PER_DAY,FLIGHT_COST
Afghanistan,Kabul,culture,"National Museum, Babur's Garden, Shah-Do Shamshira Mosque",Security concerns,Yes,40,1300
Afghanistan,Herat,photography,"Herat Citadel, Friday Mosque, Old Bazaar",Exercise caution in public places,Yes,35,1300
Afghanistan,Bamyan,culture,"Buddha Niches, Band-e Amir Lakes, Local Village Life",Remote area,Yes,30,1300
Afghanistan,Mazar-i-Sharif,culture,"Blue Mosque (Shrine of Hazrat Ali), Local Market",Security and large gatherings risk,Yes,35,1300
Afghanistan,Kandahar,culture,"Kandahar Museum, Mosque of the Cloak, Old City",Limited tourist infrastructure,Yes,30,1300
Afghanistan,Faizabad,photography,"Mountain Valley Views, Village Scenery, Kokcha River",Poor road conditions,Yes,25,1300
Afghanistan,Ghazni,culture,"Ghazni Minarets, Local Forts, Historical Tombs",Area of military activity,Yes,30,1300
Afghanistan,Panjshir,adventurous,"Panjshir Valley Trekking, Scenic Mountains",Travel with experienced guide,Yes,35,1300
Afghanistan,Taloqan,photography,"Hindu Kush Foothills, Rural Life, Rice Fields",Minimal tourism infrastructure,Yes,25,1300
Afghanistan,Nuristan,adventurous,"Forest Trekking, River Gorges, Tribal Culture",Very remote,Yes,30,1300
Afghanistan,Badakhshan,adventurous,"Wakhan Corridor, Mountain Trekking, Remote Villages",Remote area,Yes,30,1300
Afghanistan,Samangan,culture,"Takht-e-Rustam Buddhist Stupa, Historical Caves",Exercise caution; low visibility for tourists,Yes,30,1300
Afghanistan,Farah,photography,"Desert Landscapes, Farah Citadel, Local Market Scenes",Travel only with local guidance,Yes,25,1300
Afghanistan,Nimruz,adventurous,"Sandy Plains, Frontier Life, Ethnic Culture",Sparse services and infrastructure,Yes,25,1300
Afghanistan,Baghlan,photography,"Andarab Valley, Rural Villages, Mountain Views",Challenging travel conditions,Yes,30,1300
Afghanistan,Khost,culture,"Mosques, Tribal Villages, Local Markets",Occasional unrest; stay updated,Yes,25,1300
Afghanistan,Lashkar Gah,culture,"Helmand River Views, Local Forts, Agriculture Region",High caution advised,Yes,25,1300
